id,name,brand,is_clone,clone_of,notes,raw_image_url,clean_image_url,price_history,status
27,flowerbomb,viktor-rolf,False,,"tea, bergamot, osmanthus, orchid, jasmine, rose, freesia, african orange flower, patchouli, musk, vanilla",https://fimgs.net/images/perfume/nd.1460.jpg,,,
28,narciso-rodriguez-for-her,narciso-rodriguez,False,,"african orange flower, osmanthus, bergamot, musk, amber, vetiver, vanille, patchouli",https://fimgs.net/images/perfume/nd.209.jpg,,,
29,bleu-de-chanel,chanel,False,,"grapefruit, lemon, mint, pink pepper, ginger, nutmeg, jasmine, iso e super, incense, vetiver, cedar, sandalwood, patchouli, labdanum, white musk",https://fimgs.net/images/perfume/nd.9099.jpg,,,
30,good-girl,carolina-herrera,False,,"almond, coffee, bergamot, lemon, tuberose, jasmine sambac, orange blossom, orris, bulgarian rose, tonka bean, cacao, vanilla, praline, sandalwood, musk, amber, cashmere wood, cinnamon, patchouli, cedar",https://fimgs.net/images/perfume/nd.39681.jpg,,,
31,d-g-anthology-l-imperatrice-3,dolce-gabbana,False,,"kiwi, rhuburb, pink pepper, watermelon, cyclamen, jasmine, lemon tree, musk, sandalwood",https://fimgs.net/images/perfume/nd.6086.jpg,,,
32,si,giorgio-armani,False,,"cassis, may rose, freesia, vanilla, patchouli, woody notes, ambroxan",https://fimgs.net/images/perfume/nd.18453.jpg,,,
33,chance-eau-tendre,chanel,False,,"quince, grapefruit, hyacinth, jasmine, musk, iris, virginia cedar, amber",https://fimgs.net/images/perfume/nd.8069.jpg,,,
34,ck-one,calvin-klein,False,,"lemon, green notes, bergamot, mandarin orange, pineapple, cardamom, papaya, lily-of-the-valley, jasmine, violet, rose, nutmeg, orris root, freesia, green accord, musk, cedar, sandalwood, oakmoss, green tea, amber",https://fimgs.net/images/perfume/nd.276.jpg,,,
35,club-de-nuit-intense-man,armaf,False,,"lemon, pineapple, bergamot, black currant, apple, birch, jasmine, rose, musk, ambergris, patchouli, vanilla",https://fimgs.net/images/perfume/nd.34696.jpg,,,
36,shalimar-eau-de-parfum,guerlain,False,,"citruses, bergamot, lemon, cedar, mandarin orange, iris, patchouli, vetiver, jasmine, rose, vanilla, incense, leather, opoponax, civet, sandalwood, tonka bean, musk",https://fimgs.net/images/perfume/nd.53.jpg,,,
37,versace-pour-homme,versace,False,,"lemon, bergamot, neroli, rose de mai, hyacinth, cedar, clary sage, geranium, tonka bean, musk, amber",https://fimgs.net/images/perfume/nd.2318.jpg,,,
38,versace-pour-homme-dylan-blue,versace,False,,"calabrian bergamot, water notes, grapefruit, fig leaf, ambroxan, black pepper, patchouli, violet leaf, papyrus, incense, musk, tonka bean, saffron",https://fimgs.net/images/perfume/nd.40031.jpg,,,
39,pure-poison,dior,False,,"jasmine, orange, bergamot, sicilian mandarin, gardenia, orange blossom, sandalwood, white amber, cedar, white musk",https://fimgs.net/images/perfume/nd.214.jpg,,,
40,the-one,dolce-gabbana,False,,"peach, litchi, mandarin orange, bergamot, lily, plum, jasmine, lily-of-the-valley, vanilla, amber, musk, vetiver",https://fimgs.net/images/perfume/nd.698.jpg,,,
41,lolita-lempicka,lolita-lempicka,False,,"star anise, violet, ivy, licorice, cherry, iris, orris root, amaryllis, vanilla, praline, tonka bean, white musk, vetiver",https://fimgs.net/images/perfume/nd.456.jpg,,,
42,by-the-fireplace,maison-martin-margiela,False,,"cloves, pink pepper, orange blossom, chestnut, guaiac wood, juniper, vanilla, peru balsam, cashmeran",https://fimgs.net/images/perfume/nd.31623.jpg,,,
43,cool-water,davidoff,False,,"sea water, lavender, mint, green notes, rosemary, calone, coriander, sandalwood, neroli, geranium, jasmine, musk, oakmoss, tobacco, cedar, ambergris",https://fimgs.net/images/perfume/nd.507.jpg,,,
44,prada-candy,prada,False,,"caramel, powdery notes, musk, benzoin, vanilla",https://fimgs.net/images/perfume/nd.12426.jpg,,,
45,y-eau-de-parfum,yves-saint-laurent,False,,"apple, ginger, bergamot, sage, juniper berries, geranium, amberwood, tonka bean, cedar, vetiver, olibanum",https://fimgs.net/images/perfume/nd.50757.jpg,,,
46,dkny-be-delicious,donna-karan,False,,"cucumber, grapefruit, magnolia, green apple, lily-of-the-valley, tuberose, violet, rose, woodsy notes, sandalwood, amber",https://fimgs.net/images/perfume/nd.498.jpg,,,
